time,Step_Input,Underdamped,Critical,Overdamped
3.64,1,1.43732,0.739931,0.468707
3.65,1,1.44047,0.741811,0.470129
3.66,1,1.44357,0.743679,0.471547
3.67,1,1.44661,0.745536,0.472961
3.68,1,1.44959,0.747381,0.474371
3.69,1,1.45252,0.749215,0.475777
3.7,1,1.45539,0.751037,0.47718
3.71,1,1.4582,0.752848,0.478579
3.72,1,1.46095,0.754647,0.479974
3.73,1,1.46365,0.756435,0.481366
3.74,1,1.46629,0.758212,0.482753
3.75,1,1.46888,0.759978,0.484137
3.76,1,1.4714,0.761732,0.485518
3.77,1,1.47387,0.763475,0.486894
3.78,1,1.47629,0.765207,0.488267
3.79,1,1.47864,0.766928,0.489636
3.8,1,1.48094,0.768638,0.491002
3.81,1,1.48318,0.770337,0.492364
3.82,1,1.48537,0.772025,0.493722
3.83,1,1.48749,0.773702,0.495077
3.84,1,1.48956,0.775369,0.496428
3.85,1,1.49158,0.777025,0.497775
3.86,1,1.49353,0.77867,0.499119
3.87,1,1.49543,0.780304,0.50046
3.88,1,1.49727,0.781928,0.501796
3.89,1,1.49906,0.783541,0.503129
3.9,1,1.50078,0.785144,0.504459
3.91,1,1.50246,0.786736,0.505785
3.92,1,1.50407,0.788317,0.507107
3.93,1,1.50563,0.789889,0.508426
3.94,1,1.50713,0.79145,0.509741
3.95,1,1.50857,0.793001,0.511053
3.96,1,1.50996,0.794541,0.512362
3.97,1,1.51129,0.796072,0.513666
3.98,1,1.51256,0.797592,0.514968
3.99,1,1.51378,0.799103,0.516266
4,1,1.51494,0.800603,0.51756
4.01,1,1.51605,0.802093,0.518851
4.02,1,1.5171,0.803573,0.520138
4.03,1,1.5181,0.805044,0.521422
4.04,1,1.51903,0.806505,0.522703
4.05,1,1.51992,0.807956,0.52398
4.06,1,1.52075,0.809397,0.525254
4.07,1,1.52152,0.810828,0.526524
4.08,1,1.52224,0.81225,0.527791
4.09,1,1.5229,0.813663,0.529055
4.1,1,1.52351,0.815066,0.530315
4.11,1,1.52406,0.816459,0.531572
4.12,1,1.52456,0.817843,0.532825
4.13,1,1.525,0.819217,0.534075
4.14,1,1.52539,0.820583,0.535322
4.15,1,1.52573,0.821939,0.536566
4.16,1,1.52601,0.823285,0.537806
4.17,1,1.52624,0.824623,0.539042
4.18,1,1.52641,0.825952,0.540276
4.19,1,1.52654,0.827271,0.541506
4.2,1,1.5266,0.828581,0.542733
4.21,1,1.52662,0.829883,0.543956
4.22,1,1.52658,0.831175,0.545177
4.23,1,1.52649,0.832459,0.546394
4.24,1,1.52635,0.833734,0.547608
4.25,1,1.52616,0.835,0.548818
4.26,1,1.52592,0.836257,0.550025
4.27,1,1.52562,0.837505,0.55123
4.28,1,1.52527,0.838745,0.55243
4.29,1,1.52487,0.839977,0.553628
4.3,1,1.52442,0.8412,0.554822
4.31,1,1.52392,0.842414,0.556014
4.32,1,1.52337,0.84362,0.557202
4.33,1,1.52277,0.844817,0.558387
4.34,1,1.52212,0.846006,0.559568
4.35,1,1.52142,0.847187,0.560747
4.36,1,1.52067,0.84836,0.561922
4.37,1,1.51988,0.849524,0.563094
4.38,1,1.51903,0.85068,0.564264
4.39,1,1.51813,0.851828,0.56543
4.4,1,1.51719,0.852969,0.566592
4.41,1,1.5162,0.854101,0.567752
4.42,1,1.51516,0.855225,0.568909
4.43,1,1.51408,0.856341,0.570062
4.44,1,1.51294,0.857449,0.571213
4.45,1,1.51176,0.858549,0.57236
4.46,1,1.51054,0.859642,0.573505
4.47,1,1.50927,0.860727,0.574646
4.48,1,1.50795,0.861804,0.575784
4.49,1,1.50659,0.862874,0.576919
4.5,1,1.50518,0.863936,0.578051
4.51,1,1.50372,0.86499,0.57918
4.52,1,1.50223,0.866037,0.580306
4.53,1,1.50069,0.867076,0.58143
4.54,1,1.4991,0.868108,0.58255
4.55,1,1.49747,0.869133,0.583667
4.56,1,1.4958,0.87015,0.584781
4.57,1,1.49408,0.87116,0.585892
4.58,1,1.49233,0.872163,0.587
4.59,1,1.49053,0.873159,0.588105
4.6,1,1.48869,0.874147,0.589207
4.61,1,1.4868,0.875128,0.590306
4.62,1,1.48488,0.876102,0.591403
4.63,1,1.48292,0.87707,0.592496
4.64,1,1.48091,0.87803,0.593587
4.65,1,1.47887,0.878983,0.594674
4.66,1,1.47678,0.87993,0.595759
4.67,1,1.47466,0.880869,0.59684
4.68,1,1.4725,0.881802,0.597919
4.69,1,1.47029,0.882728,0.598995
4.7,1,1.46806,0.883647,0.600068
4.71,1,1.46578,0.88456,0.601138
4.72,1,1.46346,0.885465,0.602206
4.73,1,1.46111,0.886365,0.60327
4.74,1,1.45873,0.887257,0.604332
4.75,1,1.4563,0.888144,0.60539
4.76,1,1.45384,0.889023,0.606446
4.77,1,1.45135,0.889897,0.6075
4.78,1,1.44881,0.890764,0.60855
4.79,1,1.44625,0.891624,0.609597
4.8,1,1.44365,0.892479,0.610642
4.81,1,1.44102,0.893327,0.611684
4.82,1,1.43835,0.894168,0.612723
4.83,1,1.43565,0.895004,0.613759
4.84,1,1.43292,0.895833,0.614793
4.85,1,1.43015,0.896657,0.615824
4.86,1,1.42735,0.897474,0.616852
4.87,1,1.42453,0.898285,0.617877
4.88,1,1.42167,0.89909,0.618899
4.89,1,1.41878,0.89989,0.619919
4.9,1,1.41586,0.900683,0.620936
4.91,1,1.4129,0.901471,0.621951
4.92,1,1.40992,0.902252,0.622962
4.93,1,1.40692,0.903028,0.623971
4.94,1,1.40388,0.903798,0.624977
4.95,1,1.40081,0.904562,0.625981
4.96,1,1.39772,0.905321,0.626982
4.97,1,1.3946,0.906074,0.62798
4.98,1,1.39145,0.906822,0.628975
4.99,1,1.38828,0.907563,0.629968
5,1,1.38508,0.9083,0.630958
5.01,1,1.38185,0.909031,0.631946
5.02,1,1.3786,0.909756,0.632931
5.03,1,1.37532,0.910476,0.633913
5.04,1,1.37202,0.91119,0.634893
5.05,1,1.3687,0.911899,0.63587
5.06,1,1.36535,0.912603,0.636844
5.07,1,1.36198,0.913302,0.637816
5.08,1,1.35859,0.913995,0.638785
5.09,1,1.35517,0.914683,0.639751
5.1,1,1.35173,0.915366,0.640715
5.11,1,1.34828,0.916044,0.641677
5.12,1,1.3448,0.916717,0.642636
