time,Time_Domain,Frequency_Spectrum
0.585,-1.13822,-1.13822
0.586,-1.16257,-1.16257
0.587,-1.17502,-1.17502
0.588,-1.17447,-1.17447
0.589,-1.16008,-1.16008
0.59,-1.13127,-1.13127
0.591,-1.08779,-1.08779
0.592,-1.02967,-1.02967
0.593,-0.957282,-0.957282
0.594,-0.871283,-0.871283
0.595,-0.772633,-0.772633
0.596,-0.66257,-0.66257
0.597,-0.542583,-0.542583
0.598,-0.414377,-0.414377
0.599,-0.279842,-0.279842
0.6,-0.141008,-0.141008
0.601,5.70896e-14,5.70896e-14
0.602,0.141008,0.141008
0.603,0.279842,0.279842
0.604,0.414377,0.414377
0.605,0.542583,0.542583
0.606,0.66257,0.66257
0.607,0.772633,0.772633
0.608,0.871283,0.871283
0.609,0.957282,0.957282
0.61,1.02967,1.02967
0.611,1.08779,1.08779
0.612,1.13127,1.13127
0.613,1.16008,1.16008
0.614,1.17447,1.17447
0.615,1.17502,1.17502
0.616,1.16257,1.16257
0.617,1.13822,1.13822
0.618,1.1033,1.1033
0.619,1.05934,1.05934
0.62,1.00799,1.00799
0.621,0.951057,0.951057
0.622,0.890366,0.890366
0.623,0.827779,0.827779
0.624,0.765119,0.765119
0.625,0.704134,0.704134
0.626,0.646447,0.646447
0.627,0.593518,0.593518
0.628,0.546611,0.546611
0.629,0.506759,0.506759
0.63,0.474739,0.474739
0.631,0.451057,0.451057
0.632,0.435932,0.435932
0.633,0.429299,0.429299
0.634,0.430803,0.430803
0.635,0.439819,0.439819
0.636,0.455464,0.455464
0.637,0.476621,0.476621
0.638,0.501973,0.501973
0.639,0.530039,0.530039
0.64,0.559207,0.559207
0.641,0.587785,0.587785
0.642,0.614044,0.614044
0.643,0.636262,0.636262
0.644,0.652775,0.652775
0.645,0.662017,0.662017
0.646,0.66257,0.66257
0.647,0.653198,0.653198
0.648,0.632885,0.632885
0.649,0.600861,0.600861
0.65,0.556635,0.556635
0.651,0.5,0.5
0.652,0.431054,0.431054
0.653,0.350195,0.350195
0.654,0.258122,0.258122
0.655,0.155819,0.155819
0.656,0.0445364,0.0445364
0.657,-0.0742319,-0.0742319
0.658,-0.198784,-0.198784
0.659,-0.327245,-0.327245
0.66,-0.45761,-0.45761
0.661,-0.587785,-0.587785
0.662,-0.715641,-0.715641
0.663,-0.839056,-0.839056
0.664,-0.955964,-0.955964
0.665,-1.06441,-1.06441
0.666,-1.16257,-1.16257
0.667,-1.24884,-1.24884
0.668,-1.32181,-1.32181
0.669,-1.38036,-1.38036
0.67,-1.42362,-1.42362
0.671,-1.45106,-1.45106
0.672,-1.46243,-1.46243
0.673,-1.45782,-1.45782
0.674,-1.43762,-1.43762
0.675,-1.40254,-1.40254
