time,Speed_Setpoint,DC_Motor,Control_Signal,Error
5.9,1,1.04601,1,0.0745584
5.91,1,1.04604,1,0.0745193
5.92,1,1.04608,1,0.0744803
5.93,1,1.04612,1,0.0744415
5.94,1,1.04616,1,0.0744029
5.95,1,1.04619,1,0.0743645
5.96,1,1.04623,1,0.0743263
5.97,1,1.04627,1,0.0742882
5.98,1,1.04631,1,0.0742504
5.99,1,1.04634,1,0.0742127
6,1,1.04638,1,0.0741752
6.01,1,1.04642,1,0.0741379
6.02,1,1.04645,1,0.0741007
6.03,1,1.04649,1,0.0740637
6.04,1,1.04652,1,0.074027
6.05,1,1.04656,1,0.0739903
6.06,1,1.0466,1,0.0739539
6.07,1,1.04663,1,0.0739176
6.08,1,1.04667,1,0.0738815
6.09,1,1.0467,1,0.0738456
6.1,1,1.04674,1,0.0738098
6.11,1,1.04677,1,0.0737743
6.12,1,1.0468,1,0.0737389
6.13,1,1.04684,1,0.0737036
6.14,1,1.04687,1,0.0736685
6.15,1,1.04691,1,0.0736336
6.16,1,1.04694,1,0.0735989
6.17,1,1.04697,1,0.0735643
6.18,1,1.04701,1,0.0735299
6.19,1,1.04704,1,0.0734956
6.2,1,1.04708,1,0.0734616
6.21,1,1.04711,1,0.0734276
6.22,1,1.04714,1,0.0733939
6.23,1,1.04717,1,0.0733603
6.24,1,1.04721,1,0.0733268
6.25,1,1.04724,1,0.0732936
6.26,1,1.04727,1,0.0732604
6.27,1,1.0473,1,0.0732275
6.28,1,1.04734,1,0.0731947
6.29,1,1.04737,1,0.073162
6.3,1,1.0474,1,0.0731295
6.31,1,1.04743,1,0.0730972
6.32,1,1.04746,1,0.073065
6.33,1,1.04749,1,0.073033
6.34,1,1.04752,1,0.0730011
6.35,1,1.04756,1,0.0729694
6.36,1,1.04759,1,0.0729378
6.37,1,1.04762,1,0.0729064
6.38,1,1.04765,1,0.0728751
6.39,1,1.04768,1,0.072844
6.4,1,1.04771,1,0.072813
6.41,1,1.04774,1,0.0727822
6.42,1,1.04777,1,0.0727515
6.43,1,1.0478,1,0.0727209
6.44,1,1.04783,1,0.0726906
6.45,1,1.04786,1,0.0726603
6.46,1,1.04789,1,0.0726302
6.47,1,1.04791,1,0.0726002
6.48,1,1.04794,1,0.0725704
6.49,1,1.04797,1,0.0725408
6.5,1,1.048,1,0.0725112
6.51,1,1.04803,1,0.0724818
6.52,1,1.04806,1,0.0724526
