time,Reference,Plant
9.75,1,0.999931
9.76,1,0.999931
9.77,1,0.999931
9.78,1,0.999932
9.79,1,0.999932
9.8,1,0.999933
9.81,1,0.999933
9.82,1,0.999933
9.83,1,0.999934
9.84,1,0.999934
9.85,1,0.999934
9.86,1,0.999935
9.87,1,0.999935
9.88,1,0.999935
9.89,1,0.999936
9.9,1,0.999936
9.91,1,0.999936
9.92,1,0.999937
9.93,1,0.999937
9.94,1,0.999938
9.95,1,0.999938
9.96,1,0.999938
9.97,1,0.999939
9.98,1,0.999939
9.99,1,0.999939
10,1,0.99994
10.01,1,0.99994
10.02,1,0.99994
10.03,1,0.99994
10.04,1,0.999941
10.05,1,0.999941
10.06,1,0.999941
10.07,1,0.999942
10.08,1,0.999942
10.09,1,0.999942
10.1,1,0.999943
10.11,1,0.999943
10.12,1,0.999943
10.13,1,0.999944
10.14,1,0.999944
10.15,1,0.999944
10.16,1,0.999945
10.17,1,0.999945
10.18,1,0.999945
10.19,1,0.999945
10.2,1,0.999946
10.21,1,0.999946
10.22,1,0.999946
10.23,1,0.999947
10.24,1,0.999947
10.25,1,0.999947
10.26,1,0.999948
10.27,1,0.999948
10.28,1,0.999948
10.29,1,0.999948
10.3,1,0.999949
10.31,1,0.999949
10.32,1,0.999949
10.33,1,0.999949
10.34,1,0.99995
10.35,1,0.99995
10.36,1,0.99995
10.37,1,0.999951
10.38,1,0.999951
10.39,1,0.999951
10.4,1,0.999951
10.41,1,0.999952
10.42,1,0.999952
10.43,1,0.999952
10.44,1,0.999952
10.45,1,0.999953
10.46,1,0.999953
10.47,1,0.999953
10.48,1,0.999953
10.49,1,0.999954
10.5,1,0.999954
10.51,1,0.999954
10.52,1,0.999954
10.53,1,0.999955
10.54,1,0.999955
10.55,1,0.999955
10.56,1,0.999955
10.57,1,0.999956
10.58,1,0.999956
10.59,1,0.999956
10.6,1,0.999956
10.61,1,0.999957
10.62,1,0.999957
10.63,1,0.999957
10.64,1,0.999957
10.65,1,0.999958
10.66,1,0.999958
10.67,1,0.999958
10.68,1,0.999958
10.69,1,0.999959
10.7,1,0.999959
10.71,1,0.999959
10.72,1,0.999959
10.73,1,0.999959
10.74,1,0.99996
10.75,1,0.99996
10.76,1,0.99996
10.77,1,0.99996
10.78,1,0.999961
10.79,1,0.999961
10.8,1,0.999961
10.81,1,0.999961
10.82,1,0.999961
10.83,1,0.999962
10.84,1,0.999962
10.85,1,0.999962
10.86,1,0.999962
10.87,1,0.999962
10.88,1,0.999963
10.89,1,0.999963
10.9,1,0.999963
10.91,1,0.999963
10.92,1,0.999963
10.93,1,0.999964
10.94,1,0.999964
10.95,1,0.999964
10.96,1,0.999964
10.97,1,0.999964
10.98,1,0.999965
10.99,1,0.999965
11,1,0.999965
11.01,1,0.999965
11.02,1,0.999965
11.03,1,0.999966
11.04,1,0.999966
