time,Message__1_Hz_,Carrier__20_Hz_,AM_Signal
0.619,-0.540266,0.770513,0.770513
0.62,-0.543963,0.684547,0.684547
0.621,-0.547638,0.587785,0.587785
0.622,-0.551291,0.481754,0.481754
0.623,-0.554923,0.368125,0.368125
0.624,-0.558532,0.24869,0.24869
0.625,-0.56212,0.125333,0.125333
0.626,-0.565685,-5.73345e-14,-5.73345e-14
0.627,-0.569229,-0.125333,-0.125333
0.628,-0.572749,-0.24869,-0.24869
0.629,-0.576247,-0.368125,-0.368125
0.63,-0.579723,-0.481754,-0.481754
0.631,-0.583175,-0.587785,-0.587785
0.632,-0.586604,-0.684547,-0.684547
0.633,-0.59001,-0.770513,-0.770513
0.634,-0.593393,-0.844328,-0.844328
0.635,-0.596753,-0.904827,-0.904827
0.636,-0.600089,-0.951057,-0.951057
0.637,-0.603401,-0.982287,-0.982287
0.638,-0.60669,-0.998027,-0.998027
0.639,-0.609954,-0.998027,-0.998027
0.64,-0.613194,-0.982287,-0.982287
0.641,-0.616411,-0.951057,-0.951057
0.642,-0.619602,-0.904827,-0.904827
0.643,-0.62277,-0.844328,-0.844328
0.644,-0.625913,-0.770513,-0.770513
0.645,-0.629031,-0.684547,-0.684547
0.646,-0.632124,-0.587785,-0.587785
0.647,-0.635192,-0.481754,-0.481754
0.648,-0.638236,-0.368125,-0.368125
0.649,-0.641254,-0.24869,-0.24869
0.65,-0.644246,-0.125333,-0.125333
0.651,-0.647214,6.07648e-14,6.07648e-14
0.652,-0.650155,0.125333,0.125333
0.653,-0.653071,0.24869,0.24869
0.654,-0.655962,0.368125,0.368125
0.655,-0.658826,0.481754,0.481754
0.656,-0.661664,0.587785,0.587785
0.657,-0.664477,0.684547,0.684547
0.658,-0.667263,0.770513,0.770513
0.659,-0.670022,0.844328,0.844328
0.66,-0.672756,0.904827,0.904827
0.661,-0.675462,0.951057,0.951057
0.662,-0.678142,0.982287,0.982287
0.663,-0.680796,0.998027,0.998027
0.664,-0.683422,0.998027,0.998027
0.665,-0.686021,0.982287,0.982287
0.666,-0.688594,0.951057,0.951057
0.667,-0.691139,0.904827,0.904827
0.668,-0.693657,0.844328,0.844328
